1	1	1483.52
2	1	714.286
3	1	-1098.9
4	1	-384.615
5	1	-384.615
6	1	-329.67
1	2	714.286
2	2	1483.52
3	2	-329.67
4	2	-384.615
5	2	-384.615
6	2	-1098.9
1	3	-1098.9
2	3	-329.67
3	3	1483.52
4	3	0
5	3	0
6	3	714.286
7	3	-384.615
8	3	-384.615
1	4	-384.615
2	4	-384.615
3	4	0
4	4	1483.52
5	4	714.286
6	4	0
7	4	-329.67
8	4	-1098.9
1	5	-384.615
2	5	-384.615
3	5	0
4	5	714.286
5	5	1483.52
6	5	0
7	5	-1098.9
8	5	-329.67
1	6	-329.67
2	6	-1098.9
3	6	714.286
4	6	0
5	6	0
6	6	1483.52
7	6	-384.615
8	6	-384.615
3	7	-384.615
4	7	-329.67
5	7	-1098.9
6	7	-384.615
7	7	1483.52
8	7	714.286
3	8	-384.615
4	8	-1098.9
5	8	-329.67
6	8	-384.615
7	8	714.286
8	8	1483.52
