1 1 1
1 2 0
1 3 0
1 4 0
1 5 0
1 6 0
1 10 0
1 11 0
1 12 0
1 19 0
1 20 0
1 21 0
1 37 0
1 38 0
1 39 0
1 55 0
1 56 0
1 57 0
1 61 0
1 62 0
1 63 0
2 1 0
2 2 1
2 3 0
2 4 0
2 5 0
2 6 0
2 10 0
2 11 0
2 12 0
2 19 0
2 20 0
2 21 0
2 37 0
2 38 0
2 39 0
2 55 0
2 56 0
2 57 0
2 61 0
2 62 0
2 63 0
3 1 0
3 2 0
3 3 1
3 4 0
3 5 0
3 6 0
3 10 0
3 11 0
3 12 0
3 19 0
3 20 0
3 21 0
3 37 0
3 38 0
3 39 0
3 55 0
3 56 0
3 57 0
3 61 0
3 62 0
3 63 0
4 1 0
4 2 0
4 3 0
4 4 1
4 5 0
4 6 0
4 16 0
4 17 0
4 18 0
4 19 0
4 20 0
4 21 0
4 25 0
4 26 0
4 27 0
4 52 0
4 53 0
4 54 0
4 61 0
4 62 0
4 63 0
5 1 0
5 2 0
5 3 0
5 4 0
5 5 1
5 6 0
5 16 0
5 17 0
5 18 0
5 19 0
5 20 0
5 21 0
5 25 0
5 26 0
5 27 0
5 52 0
5 53 0
5 54 0
5 61 0
5 62 0
5 63 0
6 1 0
6 2 0
6 3 0
6 4 0
6 5 0
6 6 1
6 16 0
6 17 0
6 18 0
6 19 0
6 20 0
6 21 0
6 25 0
6 26 0
6 27 0
6 52 0
6 53 0
6 54 0
6 61 0
6 62 0
6 63 0
7 7 1
7 8 0
7 9 0
7 10 0
7 11 0
7 12 0
7 13 0
7 14 0
7 15 0
7 22 0
7 23 0
7 24 0
7 34 0
7 35 0
7 36 0
7 58 0
7 59 0
7 60 0
7 64 0
7 65 0
7 66 0
8 7 0
8 8 1
8 9 0
8 10 0
8 11 0
8 12 0
8 13 0
8 14 0
8 15 0
8 22 0
8 23 0
8 24 0
8 34 0
8 35 0
8 36 0
8 58 0
8 59 0
8 60 0
8 64 0
8 65 0
8 66 0
9 7 0
9 8 0
9 9 1
9 10 0
9 11 0
9 12 0
9 13 0
9 14 0
9 15 0
9 22 0
9 23 0
9 24 0
9 34 0
9 35 0
9 36 0
9 58 0
9 59 0
9 60 0
9 64 0
9 65 0
9 66 0
10 1 0
10 2 0
10 3 0
10 7 0
10 8 0
10 9 0
10 10 961.538
10 11 -0.00516026
10 12 0.00516026
10 19 -240.389
10 20 -240.377
10 21 -16.0334
10 22 -240.386
10 23 240.382
10 24 16.0282
10 55 -240.383
10 56 16.023
10 57 240.387
10 58 -240.38
10 59 -16.0179
10 60 -240.392
10 67 96.1538
10 68 -0.00516026
10 69 0.00516026
11 1 0
11 2 0
11 3 0
11 7 0
11 8 0
11 9 0
11 10 -0.00516026
